Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.500228638,8-18-2016,12,0.82,10,28.93,23.06,70.08,8.32,29.27,30.06,3420.25,,
0.727588347,5-25-2016,16,0,10,28.71,16.96,49.84,21.4,29.13,29.92,1676.25,,
0.104708343,10-08-2017,6,0.93,0.56,11.1,10.85,96.97,1.26,29.06,29.86,0.69,,
0.520940772,04-07-2017,7,0,10,3.96,-1.03,70.64,14.2,29.32,30.11,687.75,,
0.408477187,5-24-2016,12,0,10,29.06,10.24,28.53,18.23,29.21,30,4022.5,,
0.535534009,2-16-2016,15,0.96,7.08,2.35,-1.02,81.64,7.32,29.05,29.84,2020.5,,
0.231308485,07-04-2016,8,1,2.13,19.33,19.18,97.74,5.63,29.11,29.91,419.25,,
0.577250115,1-28-2017,11,1,9.96,0.05,-2.54,82.56,15.56,29.04,29.83,1952.75,,
0.186702723,3-17-2016,7,0,10,6.74,1.3,65.23,9.52,29.14,29.93,306.65,,
0.9171321,10-02-2017,12,0.17,10,27.9,10.66,33.84,13.64,29.38,30.18,3858.25,,
0.803047538,04-12-2017,15,0,10,19.41,3.59,35.16,5.68,29.52,30.32,3690.25,,
0.251863524,04-09-2016,15,0,10,4.11,-7.84,40.56,2.8,29.44,30.24,4236.5,,
0.906229472,03-01-2016,10,1,9.96,8.28,5.5,78.29,12.69,28.87,29.65,564.75,,
0.439174371,8-14-2017,13,0.65,10,28.22,17.33,49.72,6.92,29.07,29.86,3721.75,,
0.525362501,3-18-2016,8,0,10,5.2,-1.9,60.24,9.68,29.3,30.09,1406.5,,
0.389837718,08-03-2017,15,0.51,8.07,22.95,20.25,83.8,6.28,29.13,29.93,259.5,,
0.408363537,06-04-2017,11,0.42,10,30.28,18.14,46.2,6.44,29.09,29.88,3570.75,,
0.443689496,05-09-2016,6,1,6.96,12.69,11.58,91.08,13.04,29.13,29.92,54.3,,
0.124226486,06-08-2017,7,0,10,20.13,9.73,49.76,2.68,29.27,30.06,1177.75,,
0.87354986,10-01-2017,14,0,10,23.81,3.76,26,10.56,29.31,30.11,3937.75,,
0.62924041,4-30-2016,16,0.38,2.15,15.13,14.37,49.67,8.84,15.87,29.8,185.75,,
0.09790874,11-13-2016,17,0,10,7.04,0.84,57.12,6.44,29.31,30.1,0,,
0.614988335,5-29-2017,12,0.01,10,27.57,6.94,25.36,17.56,29.1,29.89,3883,,
0.008581286,04-02-2016,12,0.55,10,8.83,-3.13,45.08,41.56,28.91,29.7,3120,,
0.504276638,8-23-2016,9,0,10,23.91,18.66,70.8,9.68,29.46,30.26,2981.5,,
0.620948164,6-27-2016,8,0,10,27.37,20.34,64.52,7.24,29.31,30.1,2221.25,,
0.68401429,9-15-2016,16,0.25,10,27.51,18.91,57.04,6.04,29.31,30.1,1472.25,,
0.654257796,4-15-2017,12,0.62,10,26.64,13.43,44.08,22.8,29.23,30.02,4722.5,,
0.558366606,6-23-2016,14,0.01,10,28.03,15.91,47.29,10.88,29.09,29.88,4191.75,,
0.005196039,2-21-2016,14,0.9,10,9.03,3.36,70.35,14.84,29.28,30.07,2739.75,,
0.011460892,10-01-2016,10,1,5.89,16.58,15.3,90.43,5.71,29.24,30.03,655.5,,
0.722282025,11-27-2016,16,0.92,6.4,6.57,5.16,87.68,11.48,29.13,29.92,9.92,,
0.709438418,09-02-2017,11,0,10,20.38,10.81,53.56,7.76,29.26,30.05,4676,,
0.93545791,10-15-2016,7,1,2.17,15.95,15.87,97.23,10.18,29.31,30.1,26.98,,
0.953771046,8-30-2016,16,0.14,10,26.65,23.46,40.45,7.12,15.44,30.07,1234,,
0.657211839,10-13-2017,15,0,10,25.27,14.62,51.04,10.44,29.29,30.08,2807.5,,
0.579957893,03-05-2016,14,1,10,6.44,2.23,70.76,15.08,29.33,30.12,551.75,,
0.643721421,6-20-2017,15,0.43,10,30.02,12.63,33.56,12.72,29.12,29.91,1059.5,,
0.841828169,7-18-2017,7,0,10,22.02,16.67,66.6,0.2,29.29,30.08,816.75,,
0.194478871,03-09-2016,6,0.91,10,15.11,12.76,83.88,10.68,29.11,29.9,60.13,,
0.357078742,5-19-2017,14,1,10,14.02,12.39,91.51,13.19,29.21,30,2230.75,,
0.817477911,11-29-2016,13,0.46,10,13.8,9.8,75.64,15.84,28.77,29.55,1798.25,,
0.749060187,3-13-2016,13,1,9.72,16.53,15.41,91.72,6.53,28.9,29.69,941.25,,
0.964383419,10-13-2016,12,0,10,13.35,4.39,52.92,1.28,29.51,30.31,4720.25,,
0.825391594,4-18-2016,15,0,10,27.39,3.18,19.36,8.44,29.41,30.21,3432.5,,
0.794445349,01-08-2017,9,0,10,-13.93,-17.34,70.12,0,29.94,30.75,1433.75,,
0.670086194,10-25-2016,14,0.4,10,15.18,4.25,48.44,7.76,29.52,30.32,1598.5,,
0.585638206,07-06-2017,15,0.56,10,30.55,21.54,56.8,1.16,29.19,29.98,731.75,,
0.503139184,12-06-2016,7,1,4.55,1.58,1.07,93.82,6.41,28.95,29.74,18.93,,
0.397841278,05-03-2017,15,1,10,10.49,6.54,68.8,7.04,29.3,30.09,1029.25,,
0.475958834,10-12-2017,7,1,0.37,14.54,14.42,99.89,4.93,29.37,30.17,23.27,,
0.914197484,3-20-2016,14,1,10,7.19,-5.06,40.08,14.48,29.34,30.14,1401,,
0.282247859,2-25-2016,15,0.56,10,2.78,-2.08,67.96,14.08,29.27,30.06,1499,,
0.084668999,06-01-2017,6,0,10,16.43,8.58,53.76,1.92,29.31,30.11,334.75,,
0.038940069,06-08-2017,17,0,10,27.13,6.5,24.6,3.48,29.09,29.88,1947,,
0.220582526,2-14-2017,13,0,10,11.06,2.18,54.68,14.68,29.05,29.84,3817.75,,
0.639313917,8-26-2016,14,0.54,10,28.74,23.61,71.8,5.64,29.3,30.09,3046.5,,
0.990302209,2-23-2017,17,0.64,9.92,14.36,9.72,76.2,16.08,28.89,29.67,31.25,,
0.212157433,01-08-2017,10,0,10,-12.36,-17.96,57.83,0,29.93,30.74,2118.75,,
0.273996338,07-03-2017,6,0.38,10,22.46,18.86,75.68,0,29.29,30.08,84,,
0.63828101,08-04-2016,17,0,10,29.74,24.43,69.88,3.94,29.13,29.93,1984.25,,
0.882466447,04-10-2016,9,1,10,5.82,0.77,67.68,18.72,29.13,29.92,401.25,,
0.561925935,05-01-2016,17,1,4.79,16.32,14.6,91.22,11.65,29.09,29.88,463.25,,
0.069186335,9-17-2017,9,0,10,25.92,19.58,66.16,2.12,29.3,30.09,2616,,
0.378453902,4-15-2016,7,0,10,10.23,2.28,58.72,9.08,29.4,30.2,528.25,,
0.7889391,4-13-2017,14,0.54,10,26.18,13.41,43.36,9.8,29.36,30.16,2401,,
0.895415218,12-12-2016,13,0.44,10,-1.41,-4.75,21.74,9.72,8.53,30.11,1924,,
0.783550743,07-10-2017,15,0.79,10,31.15,23.34,62.2,17.96,29.06,29.85,3473,,
0.133909346,04-05-2016,14,0,10,9.27,-3.27,40.12,13.96,29.51,30.31,4270,,
0.714601123,12-16-2016,9,1,10,-7.17,-12.31,64.88,15.76,29.38,30.18,385.25,,
0.016146312,7-27-2016,15,0,10,27.98,21.7,74,5,29.15,29.97,962.75,,
0.234796271,6-19-2016,7,0.01,10,24.65,17.68,63.04,7.68,29.46,30.26,941.25,,
0.023693995,4-27-2017,7,1,9.14,7.97,6.57,87.47,17.57,28.81,29.59,257.75,,
0.15126,3-16-2017,8,0,10,-1.73,-7.45,62.92,8,29.58,30.38,1576.5,,
0.271471495,11-20-2016,7,0,10,-4.1,-6.33,80.88,8.64,29.57,30.37,668,,
0.827729169,06-05-2016,9,1,10,20.35,16.44,77.6,14.04,28.97,29.76,1673.5,,
0.14946813,09-01-2016,7,0,10,17.95,14.71,79.8,9.04,29.34,30.13,632,,
0.70419711,01-07-2017,6,0,10,-18.69,-20.11,79,0.2,29.7,30.5,0,,
